ENGINESIZE,CYLINDERS,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,CO2EMISSIONS
3.6,6.0,3,14.3,9.9,12.3,283.0
3.6,6.0,3,14.6,10.2,12.6,290.0
1.4,4.0,3,9.5,7.2,8.5,196.0
1.4,4.0,3,10.2,8.0,9.2,212.0
3.6,6.0,3,13.7,8.7,11.5,264.0
3.6,6.0,2,18.4,12.2,15.6,250.0
3.6,6.0,3,13.7,8.9,11.5,264.0
3.6,6.0,2,19.4,13.0,16.5,264.0
2.4,4.0,3,9.6,6.5,8.2,189.0
2.0,4.0,0,11.5,7.9,9.9,228.0
2.0,4.0,0,11.6,7.5,9.8,225.0
2.0,4.0,0,12.3,8.7,10.7,246.0
2.4,4.0,3,11.3,7.4,9.5,218.0
2.0,4.0,0,11.3,7.5,9.6,221.0
2.0,4.0,0,12.1,7.9,10.2,235.0
2.5,4.0,3,10.5,7.2,9.0,207.0
3.6,6.0,3,12.8,8.5,10.9,251.0
2.0,4.0,0,11.8,8.1,10.1,232.0
3.6,6.0,3,13.1,9.0,11.3,260.0
3.6,6.0,3,13.2,8.7,11.2,258.0
3.6,6.0,3,13.3,9.0,11.4,262.0
2.0,4.0,0,11.9,7.9,10.1,232.0
3.6,6.0,3,12.9,8.2,10.8,248.0
2.0,4.0,0,12.6,8.5,10.8,248.0
3.6,6.0,0,15.1,9.9,12.8,294.0
3.0,6.0,3,12.7,8.9,11.0,253.0
3.6,6.0,3,13.3,8.9,11.3,260.0
3.0,6.0,3,12.8,9.1,11.1,255.0
6.0,8.0,0,19.7,12.9,16.6,382.0
6.0,8.0,0,16.7,12.5,14.8,340.0
6.0,8.0,0,17.0,11.8,14.7,338.0
6.0,8.0,0,18.8,13.4,16.4,377.0
3.6,6.0,3,14.3,9.8,12.3,283.0
3.6,6.0,3,14.8,10.4,12.8,294.0
3.6,6.0,3,13.6,8.6,11.4,262.0
3.6,6.0,3,14.0,9.1,11.8,271.0
3.6,6.0,0,14.8,9.8,12.6,290.0
3.6,6.0,3,14.2,8.6,11.7,269.0
3.6,6.0,3,12.7,7.9,10.5,242.0
6.0,8.0,0,15.3,9.8,12.8,294.0
6.0,8.0,0,15.0,9.9,12.7,292.0
6.0,8.0,0,14.9,8.5,12.0,276.0
6.0,8.0,0,13.7,8.2,11.2,258.0
1.4,4.0,3,9.1,6.3,7.8,179.0
1.8,4.0,3,10.5,6.7,8.8,202.0
1.8,4.0,3,9.5,6.5,8.2,189.0
2.0,4.0,1,8.7,5.1,7.1,192.0
1.4,4.0,3,9.1,6.0,7.7,177.0
1.4,4.0,3,8.4,5.6,7.1,163.0
2.4,4.0,3,10.5,7.3,9.1,209.0
3.6,6.0,3,13.9,9.6,12.0,276.0
3.6,6.0,2,18.8,13.1,16.2,259.0
2.4,4.0,3,11.5,8.2,10.0,230.0
3.6,6.0,3,14.8,9.9,12.6,290.0
3.6,6.0,2,19.8,13.6,17.0,272.0
4.3,6.0,3,17.1,12.7,15.1,347.0
5.3,8.0,3,18.0,13.4,15.9,366.0
5.3,8.0,3,18.6,13.65,16.5,380.0
2.5,4.0,3,11.3,7.5,9.6,221.0
3.6,6.0,3,12.6,8.2,10.6,244.0
3.6,6.0,2,16.7,11.3,14.3,229.0
2.4,4.0,3,10.0,7.0,8.7,200.0
2.5,4.0,3,9.3,6.4,8.0,184.0
2.4,4.0,3,12.2,8.6,10.6,244.0
2.4,4.0,3,11.8,8.3,10.2,235.0
4.3,6.0,3,13.4,9.9,11.8,271.0
5.3,8.0,3,14.6,10.3,12.7,292.0
5.3,8.0,2,19.5,13.65,16.9,270.0
6.0,8.0,0,16.3,11.4,14.1,324.0
4.3,6.0,3,14.2,10.6,12.6,290.0
5.3,8.0,3,14.9,10.6,13.0,299.0
6.0,8.0,0,16.4,11.7,14.3,329.0
1.4,4.0,3,9.1,6.7,8.0,184.0
1.4,4.0,3,8.5,6.2,7.5,173.0
1.8,4.0,3,9.6,6.6,8.3,191.0
1.8,4.0,3,8.9,6.7,7.9,182.0
1.4,4.0,3,8.5,6.2,7.5,172.0
1.4,4.0,3,9.4,7.0,8.3,191.0
1.4,4.0,3,8.7,7.0,7.9,182.0
1.2,4.0,3,7.7,6.0,6.9,159.0
1.2,4.0,3,7.6,6.0,6.9,159.0
5.3,8.0,3,16.0,11.1,13.8,317.0
1.4,4.0,3,9.4,7.1,8.4,193.0
1.4,4.0,3,9.1,6.8,8.1,186.0
1.4,4.0,3,10.0,7.8,9.0,207.0
3.6,6.0,3,12.4,7.7,10.3,237.0
2.4,4.0,3,11.7,8.2,10.1,232.0
2.4,4.0,3,12.9,8.1,10.7,246.0
3.6,6.0,3,12.5,8.1,10.5,242.0
3.6,6.0,2,17.0,11.2,14.4,230.0
2.4,4.0,3,11.2,8.0,9.8,225.0
2.4,4.0,3,12.0,7.6,10.0,230.0
5.7,8.0,3,15.8,9.2,12.8,294.0
3.6,6.0,3,12.8,8.6,10.9,251.0
5.7,8.0,3,16.1,10.0,13.4,308.0
3.6,6.0,2,17.3,11.7,14.8,237.0
3.6,6.0,2,16.8,10.3,13.9,222.0
3.6,6.0,3,14.1,9.5,12.0,276.0
3.6,6.0,2,19.7,13.3,16.8,269.0
5.7,8.0,3,15.6,10.0,13.1,301.0
3.6,6.0,2,18.3,12.6,15.7,251.0
3.6,6.0,3,12.3,7.6,10.2,235.0
2.0,4.0,3,9.4,6.5,8.1,186.0
2.4,4.0,3,10.1,6.8,8.6,198.0
2.4,4.0,3,10.5,6.7,8.8,202.0
2.0,4.0,3,9.9,7.0,8.6,198.0
2.0,4.0,2,14.2,9.8,12.2,195.0
2.4,4.0,3,10.6,7.5,9.2,212.0
2.4,4.0,3,10.2,7.0,8.8,202.0
1.4,4.0,3,8.4,5.9,7.3,168.0
1.4,4.0,3,8.5,5.8,7.3,168.0
5.7,8.0,3,17.3,10.8,14.4,331.0
3.6,6.0,3,13.9,9.8,12.1,278.0
3.6,6.0,2,17.7,13.0,15.6,250.0
3.6,6.0,3,13.7,9.4,11.8,271.0
3.6,6.0,2,19.2,13.1,16.5,264.0
2.4,4.0,3,12.7,9.1,11.1,255.0
3.6,6.0,3,14.5,9.9,12.4,285.0
3.6,6.0,3,14.2,9.4,12.0,276.0
3.6,6.0,2,18.9,12.9,16.2,259.0
1.4,4.0,3,8.5,6.9,7.8,179.0
1.4,4.0,3,8.7,6.9,7.9,182.0
1.4,4.0,3,7.9,6.3,7.2,166.0
1.4,4.0,3,7.6,5.9,6.8,156.0
1.4,4.0,3,10.0,7.2,8.7,200.0
1.4,4.0,3,9.3,7.2,8.4,193.0
2.0,4.0,3,11.3,7.9,9.8,225.0
3.5,6.0,3,12.6,8.7,10.8,248.0
3.5,6.0,3,13.3,9.3,11.5,264.0
3.7,6.0,3,13.7,10.4,12.2,281.0
1.6,4.0,3,10.4,7.4,9.1,209.0
2.0,4.0,3,10.9,8.0,9.6,221.0
2.5,4.0,3,10.9,7.5,9.4,216.0
1.6,4.0,3,10.5,7.9,9.3,214.0
2.0,4.0,3,11.2,8.5,10.0,230.0
5.4,8.0,3,18.2,13.3,16.0,368.0
2.0,4.0,3,11.8,8.3,10.2,235.0
3.5,6.0,3,14.8,10.7,13.0,299.0
3.5,6.0,3,13.7,9.7,11.9,274.0
3.5,6.0,2,18.3,12.9,15.9,254.0
3.5,6.0,3,14.3,10.3,12.5,288.0
3.5,6.0,2,18.9,13.65,16.7,267.0
3.5,6.0,3,14.5,10.6,12.7,292.0
3.5,6.0,3,14.6,10.6,12.8,294.0
6.0,8.0,3,18.3,12.9,15.9,366.0
3.5,6.0,3,15.9,11.3,13.8,317.0
3.5,6.0,3,15.4,11.0,13.4,308.0
3.7,6.0,3,14.0,10.3,12.3,283.0
3.7,6.0,2,18.8,13.65,16.5,264.0
5.0,8.0,3,16.4,12.3,14.6,336.0
3.7,6.0,3,15.0,11.4,13.4,308.0
5.0,8.0,3,16.8,12.6,14.9,343.0
5.0,8.0,3,16.7,12.5,14.8,340.0
1.6,4.0,3,8.5,6.5,7.6,175.0
1.6,4.0,3,8.6,6.4,7.6,175.0
1.0,4.0,3,7.5,5.5,6.6,152.0
1.6,4.0,3,8.0,5.8,7.0,161.0
1.6,4.0,3,8.9,6.8,8.0,184.0
3.5,6.0,3,13.2,9.4,11.5,264.0
3.5,6.0,3,13.7,10.2,12.1,278.0
3.5,6.0,3,14.8,10.4,12.8,294.0
2.0,4.0,3,10.2,7.4,8.9,205.0
2.0,4.0,3,8.8,6.4,7.7,177.0
2.0,4.0,2,11.7,8.5,10.3,165.0
2.0,4.0,3,8.9,6.4,7.8,179.0
2.0,4.0,3,9.1,6.6,8.0,184.0
2.0,4.0,2,11.9,8.9,10.6,170.0
2.0,4.0,3,8.4,5.8,7.2,166.0
2.0,4.0,2,11.6,8.3,10.1,162.0
1.5,4.0,3,10.1,6.6,8.5,196.0
1.6,4.0,3,9.4,6.4,8.1,186.0
2.0,4.0,3,10.5,7.1,9.0,207.0
2.5,4.0,3,10.5,7.0,8.9,205.0
1.5,4.0,3,9.5,6.3,8.1,186.0
2.0,4.0,3,10.9,7.5,9.4,216.0
3.7,6.0,3,12.1,7.8,10.2,235.0
3.7,6.0,3,12.7,8.1,10.6,244.0
5.0,8.0,3,13.3,9.3,11.5,264.0
5.0,8.0,3,15.4,9.4,12.7,292.0
5.8,8.0,0,15.9,9.9,13.2,304.0
3.7,6.0,3,12.5,8.2,10.6,244.0
2.0,4.0,3,10.5,7.3,9.1,209.0
3.5,6.0,3,13.7,9.4,11.8,271.0
3.5,6.0,3,12.1,8.1,10.3,237.0
3.5,6.0,2,17.0,11.1,14.3,229.0
3.5,6.0,3,13.0,9.1,11.2,258.0
3.5,6.0,2,18.4,12.5,15.7,251.0
1.6,4.0,3,10.8,8.0,9.5,218.0
2.5,4.0,3,11.3,8.2,9.9,228.0
1.6,4.0,3,11.5,8.3,10.1,232.0
2.5,4.0,3,11.9,8.5,10.4,239.0
3.6,6.0,3,14.9,10.4,12.9,297.0
2.4,4.0,3,9.0,6.6,7.9,182.0
2.4,4.0,3,9.1,6.9,8.1,186.0
2.4,4.0,3,10.1,6.9,8.7,200.0
3.5,6.0,3,11.0,6.8,9.1,209.0
3.5,6.0,3,11.4,7.3,9.6,221.0
3.5,6.0,3,13.0,8.4,10.9,251.0
1.8,4.0,3,7.9,6.0,7.0,161.0
1.8,4.0,3,8.1,6.2,7.2,166.0
1.8,4.0,3,8.5,6.6,7.6,175.0
3.5,6.0,3,12.5,8.5,10.7,246.0
2.4,4.0,3,10.3,7.6,9.1,209.0
2.4,4.0,3,10.6,7.9,9.4,216.0
1.5,4.0,3,6.6,6.0,6.3,145.0
1.5,4.0,3,7.6,6.1,6.9,159.0
1.5,4.0,3,8.3,6.5,7.5,172.0
1.5,4.0,3,8.3,6.9,7.7,177.0
3.5,6.0,3,12.3,8.5,10.6,244.0
3.5,6.0,3,13.3,9.3,11.5,265.0
3.5,6.0,3,13.9,9.7,12.0,276.0
3.5,6.0,3,15.2,11.3,13.4,308.0
1.6,4.0,3,8.8,6.3,7.7,177.0
1.6,4.0,3,8.7,6.4,7.7,177.0
2.0,4.0,3,9.8,7.2,8.6,198.0
2.0,4.0,3,9.8,7.0,8.5,196.0
5.0,8.0,0,15.7,10.2,13.2,304.0
3.8,6.0,3,13.0,8.7,11.1,255.0
3.3,6.0,3,13.0,9.1,11.2,258.0
3.3,6.0,3,13.3,9.5,11.6,267.0
2.4,4.0,3,11.6,8.7,10.3,237.0
2.0,4.0,3,12.9,9.7,11.5,264.0
2.4,4.0,3,12.5,9.4,11.1,255.0
2.0,4.0,3,11.4,7.5,9.6,221.0
2.4,4.0,3,9.8,7.0,8.5,196.0
2.4,4.0,3,6.6,5.9,6.3,145.0
2.0,4.0,3,10.2,8.2,9.3,214.0
2.0,4.0,3,11.4,8.6,10.1,232.0
2.4,4.0,3,11.3,8.3,10.0,230.0
2.0,4.0,3,11.4,9.3,10.5,242.0
2.4,4.0,3,11.6,9.3,10.6,244.0
1.6,4.0,3,8.6,6.6,7.7,177.0
1.6,4.0,3,9.1,6.7,8.0,184.0
1.6,4.0,3,9.9,7.5,8.8,202.0
1.6,4.0,3,9.7,7.1,8.5,196.0
3.7,6.0,0,12.0,8.0,10.2,235.0
3.7,6.0,0,12.6,8.7,10.8,248.0
3.5,6.0,0,8.2,6.7,7.5,172.0
3.5,6.0,0,8.7,7.5,8.2,189.0
3.7,6.0,0,13.3,9.4,11.5,265.0
3.7,6.0,0,13.6,9.3,11.7,269.0
3.7,6.0,0,14.3,9.8,12.3,283.0
3.7,6.0,0,12.9,8.9,11.1,255.0
3.7,6.0,0,13.5,9.3,11.6,267.0
3.7,6.0,0,12.8,8.9,11.0,253.0
5.6,8.0,0,14.5,9.5,12.3,283.0
3.7,6.0,0,13.2,9.6,11.6,267.0
5.6,8.0,0,15.0,10.2,12.8,294.0
3.5,6.0,0,8.0,7.0,7.6,175.0
3.7,6.0,0,13.6,9.6,11.8,271.0
3.5,6.0,0,11.9,9.0,10.6,244.0
3.5,6.0,0,12.3,9.3,11.0,253.0
2.5,4.0,3,8.8,8.2,8.5,196.0
3.7,6.0,0,14.5,10.7,12.8,294.0
5.0,8.0,0,16.6,11.9,14.5,334.0
5.6,8.0,0,17.4,12.1,15.0,345.0
3.0,6.0,0,11.8,8.4,10.3,237.0
3.0,6.0,0,12.2,8.7,10.6,244.0
5.0,8.0,0,15.0,10.2,12.8,294.0
2.0,4.0,0,12.3,8.2,10.5,242.0
3.0,6.0,0,14.7,9.1,12.2,281.0
5.0,8.0,0,15.7,10.3,13.3,306.0
3.0,6.0,0,14.6,9.6,12.4,285.0
5.0,8.0,0,15.8,10.2,13.3,306.0
5.0,8.0,2,20.349999999999998,13.6,17.400000000000002,280.0
3.0,6.0,0,14.7,9.6,12.4,285.0
5.0,8.0,0,15.1,10.6,13.1,301.0
5.0,8.0,0,14.8,9.9,12.6,290.0
5.0,8.0,0,15.9,10.9,13.7,315.0
5.0,8.0,0,15.6,10.9,13.5,310.0
2.4,4.0,3,10.9,7.7,9.5,218.0
3.2,6.0,3,12.3,8.3,10.5,242.0
3.2,6.0,3,12.5,8.8,10.8,248.0
2.4,4.0,3,11.4,8.6,10.1,232.0
3.2,6.0,3,12.5,9.1,11.0,253.0
2.4,4.0,3,12.1,9.4,10.9,251.0
3.2,6.0,3,13.4,9.5,11.6,267.0
2.0,4.0,3,11.1,8.3,9.8,225.0
2.0,4.0,3,10.2,7.8,9.1,209.0
2.4,4.0,3,11.1,8.3,9.8,225.0
2.4,4.0,3,10.3,8.3,9.4,216.0
2.4,4.0,3,11.4,8.7,10.2,235.0
2.4,4.0,3,10.3,8.4,9.4,216.0
2.4,4.0,3,11.7,10.3,11.1,255.0
5.7,8.0,3,17.3,11.7,14.8,340.0
3.0,6.0,1,11.2,8.4,9.9,267.0
3.6,6.0,3,14.1,11.1,12.8,294.0
3.6,6.0,3,14.2,11.0,12.8,294.0
3.6,6.0,3,14.8,11.7,13.4,308.0
3.6,6.0,3,15.0,11.4,13.4,308.0
3.3,6.0,3,12.7,8.8,10.9,251.0
1.8,4.0,3,9.3,6.4,8.0,184.0
2.0,4.0,3,9.8,6.6,8.4,193.0
2.0,4.0,3,9.7,6.8,8.4,193.0
1.6,4.0,3,11.1,8.0,9.7,223.0
1.6,4.0,3,11.1,8.2,9.8,225.0
1.6,4.0,3,10.6,7.9,9.4,216.0
1.6,4.0,3,10.8,8.1,9.6,221.0
2.0,4.0,3,9.6,7.0,8.4,193.0
2.0,4.0,3,11.7,7.6,9.9,228.0
2.4,4.0,3,10.2,6.8,8.7,200.0
1.6,4.0,3,8.7,6.3,7.6,175.0
1.6,4.0,3,8.5,6.4,7.6,175.0
2.0,4.0,3,10.5,7.5,9.2,212.0
2.0,4.0,3,10.8,7.4,9.3,214.0
3.5,6.0,3,13.7,9.9,12.0,276.0
2.4,4.0,3,11.8,8.5,10.3,237.0
3.3,6.0,3,12.9,9.5,11.4,262.0
2.4,4.0,3,12.3,9.3,11.0,253.0
3.3,6.0,3,13.4,9.9,11.8,271.0
1.6,4.0,3,9.8,7.9,8.9,205.0
1.6,4.0,3,9.9,7.8,9.0,207.0
2.0,4.0,3,10.1,7.8,9.1,209.0
2.0,4.0,3,9.7,7.8,8.8,202.0
2.4,4.0,3,11.4,8.3,10.0,230.0
2.4,4.0,3,12.9,9.3,11.3,260.0
2.0,4.0,3,12.7,9.7,11.4,262.0
2.4,4.0,3,12.0,9.1,10.7,246.0
2.0,4.0,0,13.5,9.9,11.9,274.0
3.0,6.0,0,16.3,12.4,14.5,334.0
2.0,4.0,0,11.3,7.9,9.8,225.0
5.0,8.0,0,18.0,12.2,15.4,354.0
5.0,8.0,0,17.2,12.5,15.1,347.0
3.0,6.0,0,14.2,10.2,12.4,285.0
5.0,8.0,0,17.3,12.2,15.0,345.0
5.0,8.0,0,16.6,12.3,14.7,338.0
3.0,6.0,0,14.1,10.1,12.3,283.0
3.5,6.0,3,11.3,7.6,9.6,221.0
3.5,6.0,0,12.5,9.1,11.0,253.0
3.5,6.0,0,7.7,7.4,7.6,175.0
4.6,8.0,0,15.7,11.8,13.9,320.0
2.5,6.0,0,11.2,7.8,9.7,223.0
2.5,6.0,0,11.8,8.7,10.4,239.0
3.5,6.0,0,12.2,8.7,10.6,244.0
5.0,8.0,0,14.6,10.1,12.6,290.0
4.6,8.0,0,14.5,9.6,12.3,283.0
4.6,8.0,0,15.1,10.3,12.9,297.0
5.0,8.0,0,12.0,10.7,11.4,262.0
5.7,8.0,0,18.8,13.6,16.5,380.0
3.5,6.0,3,13.3,9.8,11.7,269.0
3.5,6.0,3,12.7,9.1,11.1,255.0
3.5,6.0,0,7.9,8.6,8.2,189.0
3.7,6.0,3,13.1,9.0,11.3,260.0
2.0,4.0,3,11.5,8.5,10.2,235.0
3.7,6.0,3,14.0,9.9,12.2,281.0
3.7,6.0,3,13.1,9.3,11.4,262.0
2.0,4.0,3,6.2,6.4,6.3,145.0
3.0,6.0,0,15.2,9.6,12.7,292.0
4.7,8.0,0,18.2,11.4,15.1,347.0
4.7,8.0,0,18.2,11.7,15.3,352.0
3.8,8.0,0,17.6,10.7,14.5,334.0
3.0,6.0,0,15.9,9.7,13.1,301.0
2.0,4.0,3,8.9,7.3,8.2,189.0
2.0,4.0,3,9.0,6.8,8.0,184.0
2.5,4.0,3,9.6,7.4,8.6,198.0
2.0,4.0,3,9.3,7.6,8.5,196.0
2.5,4.0,3,9.8,7.9,8.9,205.0
3.7,6.0,3,14.2,10.0,12.3,283.0
3.7,6.0,3,14.3,10.6,12.6,290.0
1.5,4.0,3,8.4,6.9,7.7,177.0
1.5,4.0,3,8.0,6.7,7.4,170.0
2.0,4.0,3,7.9,5.7,6.9,159.0
2.0,4.0,3,8.0,5.8,7.0,161.0
2.5,4.0,3,8.4,6.1,7.4,170.0
2.5,4.0,3,8.3,6.1,7.3,168.0
2.0,4.0,3,8.0,5.9,7.1,163.0
2.0,4.0,3,8.2,5.9,7.2,166.0
2.5,4.0,3,8.7,6.5,7.7,177.0
2.5,4.0,3,8.2,6.1,7.3,168.0
2.5,4.0,3,10.8,8.4,9.7,223.0
2.5,4.0,3,11.1,8.3,9.8,225.0
2.5,4.0,3,8.8,6.2,7.6,175.0
2.5,4.0,3,9.4,6.4,8.1,186.0
2.5,4.0,3,8.4,5.9,7.3,168.0
2.0,4.0,0,11.5,8.5,10.2,235.0
2.0,4.0,0,10.5,8.5,9.6,221.0
2.0,4.0,0,11.1,8.4,9.9,228.0
2.0,4.0,0,9.2,6.6,8.0,184.0
1.8,4.0,0,10.9,7.5,9.4,216.0
1.8,4.0,0,11.0,7.4,9.4,216.0
3.5,6.0,0,12.2,8.5,10.5,242.0
3.5,6.0,2,16.4,11.1,14.0,224.0
3.5,6.0,0,12.0,8.6,10.5,242.0
3.5,6.0,0,11.9,8.6,10.4,239.0
3.5,6.0,0,12.1,8.6,10.5,242.0
6.0,8.0,0,17.7,11.9,15.1,347.0
6.0,8.0,0,17.9,12.2,15.3,352.0
4.7,8.0,0,15.4,10.4,13.2,304.0
5.5,8.0,0,15.4,11.0,13.4,308.0
2.0,4.0,0,9.1,6.2,7.8,179.0
2.0,4.0,0,10.3,7.8,9.2,212.0
4.7,8.0,0,13.3,9.4,11.5,264.0
5.5,8.0,0,15.1,10.7,13.1,301.0
2.1,4.0,1,8.5,5.7,7.2,194.0
3.5,6.0,0,11.8,8.2,10.2,235.0
3.5,6.0,0,11.6,8.1,10.0,230.0
3.5,6.0,0,11.9,8.5,10.4,239.0
3.5,6.0,0,12.0,8.5,10.4,239.0
3.5,6.0,0,11.9,8.2,10.2,235.0
3.5,6.0,0,9.6,7.9,8.8,202.0
4.7,8.0,0,13.6,9.1,11.6,267.0
4.7,8.0,0,13.7,9.3,11.7,269.0
4.7,8.0,0,13.4,8.9,11.4,262.0
5.5,8.0,0,15.0,10.3,12.9,297.0
5.5,8.0,0,15.5,11.0,13.5,310.0
3.0,6.0,1,13.4,10.2,12.0,324.0
4.7,8.0,0,17.1,12.8,15.2,350.0
4.7,8.0,0,17.6,13.1,15.6,359.0
5.5,8.0,0,17.7,13.4,15.8,363.0
2.1,4.0,1,9.6,7.1,8.5,230.0
3.5,6.0,0,12.6,9.6,11.3,260.0
3.5,6.0,0,13.4,10.5,12.1,278.0
3.5,6.0,2,17.8,13.65,16.0,256.0
3.0,6.0,1,11.8,8.5,10.3,278.0
4.7,8.0,0,16.2,11.8,14.2,327.0
5.5,8.0,0,17.2,13.5,15.5,356.0
4.7,8.0,0,14.3,9.5,12.1,278.0
4.7,8.0,0,14.2,9.4,12.0,276.0
5.5,8.0,0,15.6,10.3,13.2,304.0
4.7,8.0,0,13.4,9.6,11.7,269.0
5.5,8.0,0,14.8,10.2,12.7,292.0
6.0,8.0,0,16.7,11.2,14.2,327.0
1.8,4.0,0,10.3,7.2,8.9,205.0
1.8,4.0,0,10.4,7.3,9.0,207.0
3.5,6.0,0,11.1,8.1,9.8,225.0
5.5,8.0,0,12.3,8.7,10.7,246.0
6.0,8.0,0,18.7,13.65,16.5,380.0
6.0,8.0,0,18.2,12.6,15.7,361.0
1.6,4.0,0,8.7,6.6,7.8,179.0
1.6,4.0,0,8.6,6.8,7.8,179.0
1.6,4.0,0,9.4,7.9,8.7,200.0
1.6,4.0,0,8.5,6.6,7.6,175.0
1.6,4.0,0,8.0,6.4,7.3,168.0
1.6,4.0,0,9.3,7.0,8.3,191.0
1.6,4.0,0,9.1,6.7,8.0,184.0
1.6,4.0,0,10.0,7.8,9.0,207.0
1.6,4.0,0,9.3,7.5,8.5,196.0
2.0,4.0,3,9.2,7.0,8.2,189.0
2.0,4.0,3,9.6,6.8,8.3,191.0
2.4,4.0,3,10.5,8.2,9.5,218.0
2.0,4.0,0,14.2,10.5,12.5,288.0
2.0,4.0,0,14.0,10.3,12.3,283.0
2.0,4.0,0,13.4,9.4,11.6,267.0
2.0,4.0,3,9.6,7.3,8.6,198.0
2.0,4.0,3,9.8,7.1,8.6,198.0
1.2,3.0,3,7.0,5.6,6.4,147.0
2.4,4.0,3,9.5,7.5,8.6,198.0
2.4,4.0,3,9.9,8.1,9.1,209.0
3.0,6.0,0,11.5,8.5,10.2,235.0
2.0,4.0,3,9.6,7.6,8.7,200.0
2.0,4.0,3,9.9,7.5,8.8,202.0
2.0,4.0,3,9.8,8.0,9.0,207.0
3.7,6.0,0,12.6,9.1,11.0,253.0
3.7,6.0,0,13.3,9.3,11.5,264.0
3.7,6.0,0,13.0,9.5,11.4,262.0
3.7,6.0,0,13.5,9.6,11.7,269.0
